ts,t0,t1,p_normal,p_anomaly,pred_label,gt_label,threshold,lat_sched_ms,lat_compute_ms
0.001,0,0.001,0.999801,0.000199018,normal,normal,0.7,24.004600,0.000000
0.002,0.001,0.002,0.999883,0.000117011,normal,normal,0.7,21.944900,0.000000
0.003,0.002,0.003,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.004,0.003,0.004,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.005,0.004,0.005,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.006,0.005,0.006,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.007,0.006,0.007,0.999931,6.88883e-05,normal,normal,0.7,9.851000,0.000000
0.008,0.007,0.008,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.009,0.008,0.009,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.01,0.009,0.01,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.011,0.01,0.011,0.999865,0.000134589,normal,normal,0.7,0.000000,0.000000
0.012,0.011,0.012,0.999995,5.44458e-06,normal,normal,0.7,15.830200,0.000000
0.013,0.012,0.013,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.014,0.013,0.014,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.015,0.014,0.015,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.016,0.015,0.016,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.017,0.016,0.017,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.018,0.017,0.018,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.019,0.018,0.019,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.02,0.019,0.02,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.021,0.02,0.021,0.999865,0.000134589,normal,normal,0.7,15.786600,0.000000
0.022,0.021,0.022,0.999966,3.44816e-05,normal,normal,0.7,0.000000,0.000000
0.023,0.022,0.023,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.024,0.023,0.024,0.999931,6.88883e-05,normal,normal,0.7,0.000000,0.000000
0.025,0.024,0.025,0.999931,6.88883e-05,normal,normal,0.7,15.715100,0.000000
0.026,0.025,0.026,0.999931,6.88883e-05,normal,normal,0.7,1.289200,0.000000
0.027,0.026,0.027,0.999931,6.88883e-05,normal,normal,0.7,1.985200,0.000000
0.028,0.027,0.028,0.999931,6.88883e-05,normal,normal,0.7,1.996200,0.000000
0.029,0.028,0.029,0.999931,6.88883e-05,normal,normal,0.7,1.999900,0.000000
0.03,0.029,0.03,0.999931,6.88883e-05,normal,normal,0.7,2.002400,0.000000
0.031,0.03,0.031,0.999865,0.000134589,normal,normal,0.7,3.013400,0.000000
0.032,0.031,0.032,0.999972,2.84232e-05,normal,normal,0.7,8.325700,0.000000
0.033,0.032,0.033,0.999931,6.88883e-05,normal,normal,0.7,2.003200,0.000000
0.034,0.033,0.034,0.999931,6.88883e-05,normal,normal,0.7,2.003600,0.000000
0.035,0.034,0.035,0.999931,6.88883e-05,normal,normal,0.7,2.005800,0.000000
0.036,0.035,0.036,0.999931,6.88883e-05,normal,normal,0.7,2.073500,0.000000
0.037,0.036,0.037,0.999931,6.88883e-05,normal,normal,0.7,2.004200,0.000000
0.038,0.037,0.038,0.999931,6.88883e-05,normal,normal,0.7,1.939600,0.000000
0.039,0.038,0.039,0.999931,6.88883e-05,normal,normal,0.7,1.988500,0.000000
0.04,0.039,0.04,0.999931,6.88883e-05,normal,normal,0.7,2.005000,0.000000
0.041,0.04,0.041,0.999865,0.000134589,normal,normal,0.7,4.004800,0.000000
0.042,0.041,0.042,0.999971,2.87143e-05,normal,normal,0.7,8.710000,0.000000
0.043,0.042,0.043,0.999931,6.88883e-05,normal,normal,0.7,1.995500,0.000000
0.044,0.043,0.044,0.999931,6.88883e-05,normal,normal,0.7,2.005100,0.000000
0.045,0.044,0.045,0.999931,6.88883e-05,normal,normal,0.7,1.996100,0.000000
0.046,0.045,0.046,0.999931,6.88883e-05,normal,normal,0.7,1.999900,0.000000
0.047,0.046,0.047,0.999931,6.88883e-05,normal,normal,0.7,2.159300,0.000000
0.048,0.047,0.048,0.999931,6.88883e-05,normal,normal,0.7,2.000700,0.000000
0.049,0.048,0.049,0.999931,6.88883e-05,normal,normal,0.7,1.997700,0.000000
0.05,0.049,0.05,0.999931,6.88883e-05,normal,normal,0.7,2.003700,0.987100
0.051,0.05,0.051,0.999743,0.000257206,normal,normal,0.7,7.010500,1.001100
0.052,0.051,0.052,0.999847,0.000153437,normal,normal,0.7,17.170600,0.000000
0.053,0.052,0.053,0.999931,6.88883e-05,normal,normal,0.7,3.002500,0.000000
0.054,0.053,0.054,0.999931,6.88883e-05,normal,normal,0.7,1.996800,0.000000
0.055,0.054,0.055,0.999931,6.88883e-05,normal,normal,0.7,2.000100,0.000000
0.056,0.055,0.056,0.999931,6.88883e-05,normal,normal,0.7,1.999800,0.000000
0.057,0.056,0.057,0.999931,6.88883e-05,normal,normal,0.7,2.000900,0.000000
0.058,0.057,0.058,0.999931,6.88883e-05,normal,normal,0.7,1.999500,0.000000
0.059,0.058,0.059,0.999931,6.88883e-05,normal,normal,0.7,2.000300,0.000000
0.06,0.059,0.06,0.999931,6.88883e-05,normal,normal,0.7,2.000200,0.000000
0.061,0.06,0.061,0.999865,0.000134589,normal,normal,0.7,3.003700,0.000000
0.062,0.061,0.062,0.999909,9.13709e-05,normal,normal,0.7,6.999600,0.000000
0.063,0.062,0.063,0.999931,6.88883e-05,normal,normal,0.7,1.003800,0.000000
0.064,0.063,0.064,0.999931,6.88883e-05,normal,normal,0.7,1.995100,0.000000
0.065,0.064,0.065,0.999931,6.88883e-05,normal,normal,0.7,2.000600,0.000000
0.066,0.065,0.066,0.999931,6.88883e-05,normal,normal,0.7,2.001900,0.000000
0.067,0.066,0.067,0.999931,6.88883e-05,normal,normal,0.7,1.000200,0.000000
0.068,0.067,0.068,0.999931,6.88883e-05,normal,normal,0.7,1.999900,0.000000
0.069,0.068,0.069,0.999931,6.88883e-05,normal,normal,0.7,2.000400,0.000000
0.07,0.069,0.07,0.999931,6.88883e-05,normal,normal,0.7,0.999300,0.000000
