ts,t0,t1,p_normal,p_anomaly,pred_label,gt_label,threshold,lat_sched_ms,lat_compute_ms
0.001,0,0.001,0.989311,0.0106888,normal,normal,0.7,56.028100,0.000000
0.002,0.001,0.002,0.917218,0.0827821,normal,normal,0.7,35.867200,0.000000
0.003,0.002,0.003,0.796037,0.203963,normal,normal,0.7,32.813900,0.000000
0.004,0.003,0.004,0.928225,0.0717749,normal,normal,0.7,29.017700,0.000000
0.005,0.004,0.005,0.753942,0.246058,normal,normal,0.7,30.515500,0.000000
0.006,0.005,0.006,0.796037,0.203963,normal,normal,0.7,16.653700,0.000000
0.007,0.006,0.007,0.907651,0.0923492,normal,normal,0.7,41.375800,0.000000
0.008,0.007,0.008,0.753942,0.246058,normal,normal,0.7,29.846100,0.000000
0.009,0.008,0.009,0.796037,0.203963,normal,normal,0.7,30.091500,0.000000
0.01,0.009,0.01,0.331625,0.668375,normal,normal,0.7,27.999800,0.000000
0.011,0.01,0.011,0.447354,0.552646,normal,normal,0.7,26.005400,0.000000
0.012,0.011,0.012,0.401842,0.598158,normal,normal,0.7,26.531700,0.000000
0.013,0.012,0.013,0.365668,0.634332,normal,normal,0.7,28.000500,0.000000
0.014,0.013,0.014,0.741938,0.258062,normal,normal,0.7,25.999900,0.000000
0.015,0.014,0.015,0.364698,0.635302,normal,normal,0.7,26.012500,0.000000
0.016,0.015,0.016,0.365668,0.634332,normal,normal,0.7,26.532200,0.000000
0.017,0.016,0.017,0.450065,0.549935,normal,normal,0.7,26.000300,0.000000
0.018,0.017,0.018,0.351761,0.648239,normal,normal,0.7,27.002200,0.000000
0.019,0.018,0.019,0.380166,0.619834,normal,normal,0.7,25.540000,0.000000
0.02,0.019,0.02,0.321632,0.678368,normal,normal,0.7,25.999800,0.000000
0.021,0.02,0.021,0.380166,0.619834,normal,normal,0.7,27.007200,0.000000
0.022,0.021,0.022,0.452464,0.547536,normal,normal,0.7,26.992200,0.000000
0.023,0.022,0.023,0.365668,0.634332,normal,normal,0.7,27.547700,0.000000
0.024,0.023,0.024,0.594436,0.405564,normal,normal,0.7,24.994300,1.005100
0.025,0.024,0.025,0.364698,0.635302,normal,normal,0.7,25.071500,0.000000
0.026,0.025,0.026,0.365668,0.634332,normal,normal,0.7,26.924500,0.000000
0.027,0.026,0.027,0.724966,0.275034,normal,normal,0.7,26.514700,0.000000
0.028,0.027,0.028,0.360286,0.639714,normal,normal,0.7,27.001700,0.000000
0.029,0.028,0.029,0.380166,0.619834,normal,normal,0.7,26.008700,0.000000
0.03,0.029,0.03,0.352325,0.647675,normal,normal,0.7,27.011300,0.000000
0.031,0.03,0.031,0.407567,0.592433,normal,normal,0.7,26.525300,0.000000
0.032,0.031,0.032,0.44176,0.55824,normal,normal,0.7,27.000200,0.000000
0.033,0.032,0.033,0.321632,0.678368,normal,normal,0.7,24.003800,0.991000
0.034,0.033,0.034,0.482294,0.517707,normal,normal,0.7,26.017100,0.000000
0.035,0.034,0.035,0.360286,0.639714,normal,normal,0.7,29.525800,0.000000
0.036,0.035,0.036,0.365668,0.634332,normal,normal,0.7,28.000000,0.000000
0.037,0.036,0.037,0.526287,0.473713,normal,normal,0.7,26.992500,0.000000
0.038,0.037,0.038,0.360286,0.639714,normal,normal,0.7,27.513600,0.000000
0.039,0.038,0.039,0.380166,0.619834,normal,normal,0.7,29.080000,0.000000
0.04,0.039,0.04,0.594436,0.405564,normal,normal,0.7,29.927700,0.000000
0.041,0.04,0.041,0.37577,0.62423,normal,normal,0.7,30.531100,0.000000
0.042,0.041,0.042,0.44176,0.55824,normal,normal,0.7,32.173000,0.000000
0.043,0.042,0.043,0.352325,0.647675,normal,normal,0.7,29.999800,0.000000
0.044,0.043,0.044,0.380166,0.619834,normal,normal,0.7,24.723200,0.000000
0.045,0.044,0.045,0.360286,0.639714,normal,normal,0.7,31.671300,0.000000
0.046,0.045,0.046,0.365668,0.634332,normal,normal,0.7,34.895700,0.000000
0.047,0.046,0.047,0.526287,0.473713,normal,normal,0.7,25.999400,0.000000
0.048,0.047,0.048,0.380166,0.619834,normal,normal,0.7,25.551700,0.000000
0.049,0.048,0.049,0.365668,0.634332,normal,normal,0.7,27.000000,0.000000
0.05,0.049,0.05,0.526287,0.473713,normal,normal,0.7,24.993100,0.000000
0.051,0.05,0.051,0.390174,0.609826,normal,normal,0.7,28.021800,0.000000
0.052,0.051,0.052,0.480763,0.519237,normal,normal,0.7,28.522600,0.000000
0.053,0.052,0.053,0.352325,0.647675,normal,normal,0.7,25.000500,0.000000
0.054,0.053,0.054,0.380166,0.619834,normal,normal,0.7,26.999700,0.000000
0.055,0.054,0.055,0.360286,0.639714,normal,normal,0.7,25.006700,0.000000
0.056,0.055,0.056,0.3728,0.6272,normal,normal,0.7,24.531800,0.000000
0.057,0.056,0.057,0.624432,0.375568,normal,normal,0.7,25.995100,0.000000
0.058,0.057,0.058,0.364698,0.635302,normal,normal,0.7,25.000400,0.000000
0.059,0.058,0.059,0.365668,0.634332,normal,normal,0.7,26.012400,0.000000
0.06,0.059,0.06,0.526287,0.473713,normal,normal,0.7,24.525900,0.000000
0.061,0.06,0.061,0.392372,0.607628,normal,normal,0.7,26.000000,0.000000
0.062,0.061,0.062,0.439047,0.560953,normal,normal,0.7,25.000100,0.000000
0.063,0.062,0.063,0.518968,0.481032,normal,normal,0.7,25.025100,0.000000
0.064,0.063,0.064,0.351761,0.648239,normal,normal,0.7,26.091200,0.000000
0.065,0.064,0.065,0.380166,0.619834,normal,normal,0.7,25.999900,0.000000
0.066,0.065,0.066,0.321632,0.678368,normal,normal,0.7,25.000700,0.000000
0.067,0.066,0.067,0.482294,0.517707,normal,normal,0.7,26.012000,0.000000
0.068,0.067,0.068,0.360286,0.639714,normal,normal,0.7,26.534000,0.000000
0.069,0.068,0.069,0.365668,0.634332,normal,normal,0.7,27.997100,0.000000
0.07,0.069,0.07,0.526287,0.473713,normal,normal,0.7,26.000100,0.000000
0.071,0.07,0.071,0.392372,0.607628,normal,normal,0.7,27.525300,0.000000
0.072,0.071,0.072,0.44176,0.55824,normal,normal,0.7,27.078400,0.000000
0.073,0.072,0.073,0.526287,0.473713,normal,normal,0.7,27.918900,0.000000
0.074,0.073,0.074,0.351761,0.648239,normal,normal,0.7,27.017600,0.000000
0.075,0.074,0.075,0.380166,0.619834,normal,normal,0.7,27.532400,0.000000
0.076,0.075,0.076,0.352325,0.647675,normal,normal,0.7,27.003500,0.000000
0.077,0.076,0.077,0.380166,0.619834,normal,normal,0.7,27.989300,0.000000
0.078,0.077,0.078,0.360286,0.639714,normal,normal,0.7,28.002600,0.000000
0.079,0.078,0.079,0.395884,0.604116,normal,normal,0.7,86.513000,0.000000
0.08,0.079,0.08,0.594436,0.405564,normal,normal,0.7,28.149500,0.000000
