ts,t0,t1,p_normal,p_anomaly,pred_label,gt_label,threshold,lat_sched_ms,lat_compute_ms
0.001,0,0.001,0.999997,3.40612e-06,normal,normal,0.7,46.755500,0.000000
0.002,0.001,0.002,0.999915,8.45019e-05,normal,normal,0.7,27.669600,0.000000
0.003,0.002,0.003,0.999993,6.57796e-06,normal,normal,0.7,35.021500,0.000000
0.004,0.003,0.004,0.999993,6.57796e-06,normal,normal,0.7,23.824800,0.000000
0.005,0.004,0.005,0.999991,9.39523e-06,normal,normal,0.7,21.211600,0.000000
0.006,0.005,0.006,0.998936,0.00106442,normal,normal,0.7,1.741500,0.000000
0.007,0.006,0.007,0.999092,0.000907643,normal,normal,0.7,28.263700,0.000000
0.008,0.007,0.008,0.99941,0.000590335,normal,normal,0.7,13.552500,0.000000
0.009,0.008,0.009,0.998936,0.00106442,normal,normal,0.7,15.985200,0.000000
0.01,0.009,0.01,0.998936,0.00106442,normal,normal,0.7,18.024000,0.000000
0.011,0.01,0.011,0.999382,0.000618168,normal,normal,0.7,12.528100,0.000000
0.012,0.011,0.012,0.996027,0.00397296,normal,normal,0.7,16.158000,0.000000
0.013,0.012,0.013,0.998792,0.00120813,normal,normal,0.7,13.001000,0.000000
0.014,0.013,0.014,0.998174,0.00182607,normal,normal,0.7,12.210000,0.000000
0.015,0.014,0.015,0.99941,0.000590335,normal,normal,0.7,13.076200,0.000000
0.016,0.015,0.016,0.99861,0.00139003,normal,normal,0.7,12.170100,0.000000
0.017,0.016,0.017,0.99861,0.00139003,normal,normal,0.7,11.942900,0.000000
0.018,0.017,0.018,0.99861,0.00139003,normal,normal,0.7,11.696400,0.000000
0.019,0.018,0.019,0.998792,0.00120813,normal,normal,0.7,19.306900,0.000000
0.02,0.019,0.02,0.998174,0.00182607,normal,normal,0.7,3.420400,0.000000
0.021,0.02,0.021,0.999607,0.000392589,normal,normal,0.7,15.588300,0.000000
0.022,0.021,0.022,0.98828,0.0117196,normal,normal,0.7,15.923700,0.000000
0.023,0.022,0.023,0.998174,0.00182607,normal,normal,0.7,20.092600,0.000000
0.024,0.023,0.024,0.998174,0.00182607,normal,normal,0.7,11.991500,0.000000
0.025,0.024,0.025,0.998174,0.00182607,normal,normal,0.7,11.016800,0.000000
0.026,0.025,0.026,0.998392,0.00160793,normal,normal,0.7,11.509700,0.000000
0.027,0.026,0.027,0.998984,0.00101616,normal,normal,0.7,12.001400,0.000000
0.028,0.027,0.028,0.998174,0.00182607,normal,normal,0.7,11.999600,0.000000
0.029,0.028,0.029,0.998174,0.00182607,normal,normal,0.7,0.000000,0.000000
0.03,0.029,0.03,0.998174,0.00182607,normal,normal,0.7,16.081200,0.000000
0.031,0.03,0.031,0.998913,0.00108717,normal,normal,0.7,15.853900,0.000000
0.032,0.031,0.032,0.989447,0.0105535,normal,normal,0.7,15.657800,0.000000
0.033,0.032,0.033,0.996801,0.00319942,normal,normal,0.7,18.116900,0.000000
0.034,0.033,0.034,0.998984,0.00101616,normal,normal,0.7,11.532500,0.000000
0.035,0.034,0.035,0.997595,0.00240548,normal,normal,0.7,0.000000,0.000000
0.036,0.035,0.036,0.997595,0.00240548,normal,normal,0.7,25.154400,0.000000
0.037,0.036,0.037,0.997595,0.00240548,normal,normal,0.7,5.999900,0.000000
0.038,0.037,0.038,0.99786,0.00213977,normal,normal,0.7,17.854700,0.000000
0.039,0.038,0.039,0.996801,0.00319942,normal,normal,0.7,12.039400,0.000000
0.04,0.039,0.04,0.998984,0.00101616,normal,normal,0.7,11.802000,0.000000
0.041,0.04,0.041,0.998913,0.00108717,normal,normal,0.7,9.778900,0.000000
0.042,0.041,0.042,0.98543,0.01457,normal,normal,0.7,22.845900,0.000000
0.043,0.042,0.043,0.996801,0.00319942,normal,normal,0.7,11.131200,0.000000
0.044,0.043,0.044,0.996801,0.00319942,normal,normal,0.7,11.001800,0.000000
0.045,0.044,0.045,0.997131,0.00286846,normal,normal,0.7,12.000300,0.000000
0.046,0.045,0.046,0.998038,0.00196221,normal,normal,0.7,1.002200,0.000000
0.047,0.046,0.047,0.996801,0.00319942,normal,normal,0.7,15.832000,0.000000
0.048,0.047,0.048,0.996801,0.00319942,normal,normal,0.7,31.759100,0.000000
0.049,0.048,0.049,0.996801,0.00319942,normal,normal,0.7,8.259300,0.000000
0.05,0.049,0.05,0.996801,0.00319942,normal,normal,0.7,25.979300,0.000000
0.051,0.05,0.051,0.99841,0.00159047,normal,normal,0.7,17.000900,0.000000
0.052,0.051,0.052,0.939419,0.0605812,normal,normal,0.7,9.000300,0.000000
0.053,0.052,0.053,0.996044,0.00395618,normal,normal,0.7,15.954700,0.000000
0.054,0.053,0.054,0.991575,0.00842544,normal,normal,0.7,15.897400,0.000000
0.055,0.054,0.055,0.991575,0.00842544,normal,normal,0.7,22.486800,0.000000
0.056,0.055,0.056,0.991575,0.00842544,normal,normal,0.7,11.000200,0.000000
0.057,0.056,0.057,0.991575,0.00842544,normal,normal,0.7,11.007500,0.000000
0.058,0.057,0.058,0.992001,0.00799877,normal,normal,0.7,10.421800,0.000000
0.059,0.058,0.059,0.996044,0.00395618,normal,normal,0.7,21.360300,0.000000
0.06,0.059,0.06,0.991575,0.00842544,normal,normal,0.7,15.751600,0.000000
0.061,0.06,0.061,0.992944,0.00705571,normal,normal,0.7,15.374200,0.000000
0.062,0.061,0.062,0.680299,0.319701,normal,normal,0.7,15.778200,0.000000
0.063,0.062,0.063,0.987742,0.012258,normal,normal,0.7,16.036200,0.000000
0.064,0.063,0.064,0.988361,0.0116395,normal,normal,0.7,19.016700,0.000000
0.065,0.064,0.065,0.991599,0.00840134,normal,normal,0.7,12.932000,0.000000
0.066,0.065,0.066,0.987742,0.012258,normal,normal,0.7,18.111500,0.000000
0.067,0.066,0.067,0.987742,0.012258,normal,normal,0.7,5.390900,0.000000
0.068,0.067,0.068,0.987742,0.012258,normal,normal,0.7,8.091600,0.000000
0.069,0.068,0.069,0.987742,0.012258,normal,normal,0.7,20.897700,0.998600
0.07,0.069,0.07,0.988361,0.0116395,normal,normal,0.7,10.000500,0.000000
0.071,0.07,0.071,0.989563,0.0104369,normal,normal,0.7,16.194500,0.000000
0.072,0.071,0.072,0.950369,0.0496314,normal,normal,0.7,16.178400,0.000000
0.073,0.072,0.073,0.982198,0.0178025,normal,normal,0.7,11.005600,0.000000
