ts,t0,t1,p_normal,p_anomaly,pred_label,gt_label,threshold,lat_sched_ms,lat_compute_ms
0.001,0,0.001,0.699638,0.300362,normal,normal,0.7,60.371700,0.000000
0.002,0.001,0.002,0.171505,0.828495,anomaly,normal,0.7,20.656900,0.000000
0.003,0.002,0.003,0.248052,0.751948,anomaly,normal,0.7,15.636600,0.000000
0.004,0.003,0.004,0.238119,0.761881,anomaly,normal,0.7,16.598800,0.000000
0.005,0.004,0.005,0.234344,0.765656,anomaly,normal,0.7,16.012400,0.000000
0.006,0.005,0.006,0.208908,0.791092,anomaly,normal,0.7,7.999900,0.000000
0.007,0.006,0.007,0.248052,0.751948,anomaly,normal,0.7,10.135800,0.000000
0.008,0.007,0.008,0.208908,0.791092,anomaly,normal,0.7,9.001500,0.000000
0.009,0.008,0.009,0.208908,0.791092,anomaly,normal,0.7,8.289900,0.000000
0.01,0.009,0.01,0.208908,0.791092,anomaly,normal,0.7,8.998300,0.000000
0.011,0.01,0.011,0.191359,0.808641,anomaly,normal,0.7,10.728700,0.000000
0.012,0.011,0.012,0.831265,0.168735,normal,normal,0.7,6.001000,0.000000
0.013,0.012,0.013,0.216948,0.783052,anomaly,normal,0.7,15.859600,0.000000
0.014,0.013,0.014,0.248052,0.751948,anomaly,normal,0.7,0.000000,0.000000
0.015,0.014,0.015,0.248052,0.751948,anomaly,normal,0.7,24.197400,0.000000
0.016,0.015,0.016,0.234344,0.765656,anomaly,normal,0.7,10.139200,0.000000
0.017,0.016,0.017,0.195306,0.804694,anomaly,normal,0.7,7.000300,0.000000
0.018,0.017,0.018,0.254205,0.745795,anomaly,normal,0.7,4.999700,0.000000
0.019,0.018,0.019,0.19872,0.80128,anomaly,normal,0.7,16.085200,0.000000
0.02,0.019,0.02,0.208908,0.791092,anomaly,normal,0.7,8.793000,0.000000
0.021,0.02,0.021,0.184858,0.815142,anomaly,normal,0.7,10.072900,0.000000
0.022,0.021,0.022,0.206854,0.793146,anomaly,normal,0.7,13.016500,0.000000
0.023,0.022,0.023,0.216948,0.783052,anomaly,normal,0.7,0.000000,0.000000
0.024,0.023,0.024,0.201316,0.798684,anomaly,normal,0.7,15.990400,0.000000
0.025,0.024,0.025,0.201316,0.798684,anomaly,normal,0.7,0.000000,0.000000
0.026,0.025,0.026,0.234344,0.765656,anomaly,normal,0.7,16.150400,0.000000
0.027,0.026,0.027,0.190542,0.809458,anomaly,normal,0.7,0.000000,0.000000
0.028,0.027,0.028,0.225431,0.774569,anomaly,normal,0.7,22.038900,0.000000
