run,t,streamName,srcMACdec,dstMACdec,pcp,vid,lenB,qLenBits,gateState,meter_conform,meter_exceed,meter_filtered
DoSAttack-#6,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,1,0,0
DoSAttack-#6,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
DoSAttack-#6,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
DoSAttack-#6,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
DoSAttack-#6,0.000001314,0A-AA-00-00-00-08->0A-AA-00-00-00-0A,11725260718088,11725260718090,5,30,150,0,0,0,0,0
DoSAttack-#6,0.000014290,display_data,11725260718090,11725260718088,3,20,170,0,0,1,0,0
DoSAttack-#6,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
DoSAttack-#6,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
DoSAttack-#6,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
DoSAttack-#6,0.000014914,display_data,11725260718090,11725260718088,3,20,170,0,0,0,0,0
DoSAttack-#6,0.000018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,1,0,0
DoSAttack-#6,0.000018690,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
DoSAttack-#6,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
DoSAttack-#6,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
DoSAttack-#6,0.000030114,critical_control,11725260718089,11725260718088,7,10,225,0,0,0,0,0
DoSAttack-#6,0.000122130,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000252050,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000381970,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000500000,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,1056,1,1,0,0
DoSAttack-#6,0.000500000,0A-AA-00-00-00-09->0A-AA-00-00-00-0A,11725260718089,11725260718090,0,0,196,0,1,1,0,0
DoSAttack-#6,0.000500688,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,528,1,1,0,0
DoSAttack-#6,0.000501376,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,0,1,1,0,0
DoSAttack-#6,0.000511890,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000518770,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,0,1,1,0,0
DoSAttack-#6,0.000641810,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000771730,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.000901650,->,0,0,0,0,1526,-1,-1,0,1,1
DoSAttack-#6,0.001000000,0A-AA-00-00-00-02->01-80-C2-00-00-0E,11725260718082,1652522221582,0,0,72,0,1,0,0,0
DoSAttack-#6,0.001000000,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,0,1,1,0,0
DoSAttack-#6,0.001000688,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,0,1,1,0,0
DoSAttack-#6,0.001001376,0A-AA-00-00-00-0B->0A-AA-00-00-00-08,11725260718091,11725260718088,0,0,66,0,1,1,0,0
DoSAttack-#6,0.001008697,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,1,0,0,0
DoSAttack-#6,0.001009433,0A-AA-00-00-00-03->01-80-C2-00-00-0E,11725260718083,1652522221582,0,0,72,0,1,0,0,0
DoSAttack-#6,0.001014437,0A-AA-00-00-00-05->01-80-C2-00-00-0E,11725260718085,1652522221582,0,0,72,0,1,0,0,0
