throughput_bps_tx,throughput_bps_rx,packets_sent,packets_received,packets_dropped,drop_rate,queue_length_max,ptp_offset_mean,ptp_offset_max,rate_ratio_mean,peer_delay_mean,e2e_delay_avg,e2e_delay_max,e2e_delay_std,ptp_samples,e2e_samples,label
25480000.000000000,0.000000000,20.000000000,18.000000000,7.000000000,0.155555556,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
24200000.000000000,0.000000000,31.000000000,25.000000000,8.000000000,0.125000000,4.000000000,0.000000000,0.000000000,1.000000000,0.000000000,-1.000000000,-1.000000000,-1.000000000,23.000000000,0.000000000,normal
13224000.000000000,0.000000000,13.000000000,17.000000000,8.000000000,0.210526316,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
13224000.000000000,0.000000000,13.000000000,15.000000000,7.000000000,0.200000000,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12696000.000000000,0.000000000,12.000000000,17.000000000,8.000000000,0.216216216,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
13224000.000000000,0.000000000,13.000000000,17.000000000,8.000000000,0.210526316,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
13224000.000000000,0.000000000,13.000000000,15.000000000,7.000000000,0.200000000,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12696000.000000000,0.000000000,12.000000000,17.000000000,8.000000000,0.216216216,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
13224000.000000011,0.000000000,13.000000000,17.000000000,8.000000000,0.210526316,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000011,0.000000000,11.000000000,16.000000000,11.000000000,0.289473684,2.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000032,0.000000000,11.000000000,17.000000000,10.000000000,0.263157895,2.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11112000.000000028,0.000000000,9.000000000,19.000000000,13.000000000,0.317073171,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000052,0.000000000,11.000000000,17.000000000,11.000000000,0.282051282,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000052,0.000000000,11.000000000,15.000000000,8.000000000,0.235294118,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11112000.000000067,0.000000000,9.000000000,17.000000000,11.000000000,0.297297297,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000075,0.000000000,11.000000000,17.000000000,11.000000000,0.282051282,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000071,0.000000000,10.000000000,15.000000000,9.000000000,0.264705882,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000110,0.000000000,10.000000000,17.000000000,11.000000000,0.289473684,2.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000110,0.000000000,10.000000000,17.000000000,10.000000000,0.270270270,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000110,0.000000000,10.000000000,16.000000000,11.000000000,0.297297297,2.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000110,0.000000000,10.000000000,17.000000000,10.000000000,0.270270270,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11640000.000000151,0.000000000,10.000000000,19.000000000,12.000000000,0.292682927,4.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000158,0.000000000,11.000000000,17.000000000,11.000000000,0.282051282,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000158,0.000000000,11.000000000,15.000000000,9.000000000,0.257142857,2.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
11112000.000000183,0.000000000,9.000000000,17.000000000,11.000000000,0.297297297,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
12168000.000000201,0.000000000,11.000000000,17.000000000,11.000000000,0.282051282,3.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.000000000,0.000000000,normal
